map_context,condition,County,cell_id,count,share_of_condition_pct,centroid_lat,centroid_lon
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,118,2,0.03445305770887166,38.79271147527334,-77.01568346819109
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,121,1,0.01722652885443583,38.67954703473895,-76.99230070659013
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,124,2,0.03445305770887166,38.72818132764241,-76.99365120524567
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,127,1,0.01722652885443583,38.77681517499192,-76.99500496838097
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,128,8,0.13781223083548663,38.793026358382924,-76.99545694968101
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,129,18,0.31007751937984496,38.80923749183409,-76.99590929444669
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,130,6,0.10335917312661498,38.82257197994528,-76.99283624090684
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,131,4,0.06890611541774332,38.96077935383338,-76.99293803475334
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,132,12,0.20671834625322996,38.968544686033844,-76.99482214191126
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,135,1,0.01722652885443583,38.69610933149592,-76.9720640307196
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,139,1,0.01722652885443583,38.76095556759971,-76.97384818557747
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,141,2,0.03445305770887166,38.79337838907676,-76.97474241931309
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,142,19,0.32730404823428083,38.809589725636805,-76.97519007635914
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,143,2,0.03445305770887166,38.825793294896606,-76.9756278062724
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,144,1,0.01722652885443583,38.83888935908632,-76.97222810459888
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,145,3,0.05167958656330749,38.94467318448514,-76.97201225959675
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,146,11,0.18949181739879414,38.956300159259186,-76.97821955519294
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,147,26,0.4478897502153316,38.971485896401816,-76.97938482546199
